"yrs","ymeans","yn","ysd","yse"
2011,0.0195582924862329,390,0.089486637835157,0.00453133204818111
2012,-0.0178431606672364,355,0.102505738837433,0.00544043973331691
2013,0.0195063787141753,357,0.095647653424089,0.00506221063233163
2014,0.0396562300062848,283,0.107285938415122,0.00637748706606179
2015,0.00612047885718455,374,0.14545073901369,0.00752107866446573
2016,0.0519245114315066,521,0.132126513666558,0.00578856766163101
2017,-0.00545888556614702,508,0.138197620798325,0.00613152792006065
2018,0.00926886869719092,571,0.166378605071214,0.00696272791939947
1987,0.0150284186920005,794,0.110735357850891,0.00392985079904142
1994,-0.0497384862136258,522,0.111594521160122,0.0048843595000748
1999,-0.0859910745112963,775,0.134794752780842,0.00484197045696551
2000,-0.0338379580936164,514,0.12702420129823,0.00560279733417227
2001,-0.041609103312346,603,0.11397876515714,0.00464157413588852
2002,0.0312839889123174,738,0.112859364116833,0.00415441060375289
2003,0.0296702777746161,698,0.112433958988107,0.00425568810892304
2004,-0.0161048841039361,723,0.129498872782359,0.00481611489972864
2005,0.00868053998859705,663,0.123896990444018,0.00481176039210374
2006,-0.0222448389319002,427,0.109371596765517,0.00529286253948822
2007,-0.02804848259724,776,0.111517444481483,0.00400324295468406
2008,-0.0271059446928902,858,0.114798276079237,0.00391914852538934
2009,0.00597244481874993,781,0.104994861585305,0.00375701153462977
2010,0.0285806525939768,841,0.100009183109177,0.0034485925210061
2011,0.0186134293653607,782,0.114270774536087,0.00408631455479921
2012,0.0122502420592194,992,0.122459696188953,0.00388809924210043
2013,0.0188305698208814,820,0.118042056968031,0.00412220743807157
2014,0.00997991496308361,798,0.125401653948344,0.00443917042942472
2015,-0.0151645642370834,878,0.11892559046088,0.00401354427671183
2016,0.0314398916081613,884,0.109513556693067,0.00368333950805996
2017,-0.0165316191845735,896,0.111471931546787,0.0037240158579464
2018,-0.0133517302336595,723,0.115089245097962,0.00428021507991321
2010,0.0666627238013612,365,0.135866835008692,0.00711159517301667
2017,0.0827046129680727,541,0.124794212738919,0.00536532226950879
1987,0.0119344533390484,1151,0.133685754006175,0.00394046494279811
1996,0.0560115309283857,218,0.126068122301773,0.00853841063908967
2002,0.0102204741977427,487,0.0844848925966688,0.00382837591813765
2004,0.0131151971845529,552,0.0991275354737041,0.00421914809750051
2005,0.0211231826292001,545,0.0902003671474741,0.00386375921751051
2006,0.0272567002835312,604,0.105448899279017,0.00429065486116932
2008,-0.0275172784617613,795,0.125727807474075,0.00445910580937114
2009,0.0149325521189211,689,0.0914254767680489,0.00348303326972402
2010,0.00134708011474789,1480,0.0937851267859156,0.00243782828783734
